S/N,Journal ID,Journal Title,eISSN,Journal Imprint,Main Discipline,Publishing Model,OA License,URL
225,374,Biology and Fertility of Soils,1432-0789,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/374
226,13399,Biomass Conversion and Biorefinery,2190-6823,Springer,Energy,Springer Hybrid,CC BY-NC-ND,https://springer.com/13399
227,10237,Biomechanics and Modeling in Mechanobiology,1617-7940,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10237
228,43683,Biomedical Engineering Education,2730-5945,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/43683
229,13534,Biomedical Engineering Letters,2093-985X,"The Korean Society of Medical and Biological Engineering, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/13534
230,44174,Biomedical Materials & Devices,2731-4820,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/44174
231,10544,Biomedical Microdevices,1572-8781,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10544
232,10534,BioMetals,1572-8773,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10534
233,12104,Biomolecular NMR Assignments,1874-270X,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/12104
234,12668,BioNanoScience,2191-1649,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/12668
235,41247,Biophysical Economics and Sustainability,2730-7204,Springer,Energy,Springer Hybrid,CC BY-NC-ND,https://springer.com/41247
236,12551,Biophysical Reviews,1867-2469,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12551
237,449,Bioprocess and Biosystems Engineering,1615-7605,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/449
238,12304,Biosemiotics,1875-1350,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12304
239,41292,BioSocieties,1745-8560,Palgrave Macmillan,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/41292
240,12268,BioSpektrum,1868-6249,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12268
241,12257,Biotechnology and Bioprocess Engineering,1976-3816,"The Korean Society for Biotechnology and Bioengineering, co-published with Springer",Chemistry,Springer Hybrid,CC BY,https://springer.com/12257
242,10529,Biotechnology Letters,1573-6776,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10529
243,10543,BIT Numerical Mathematics,1572-9125,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/10543
244,40590,Boletín de la Sociedad Matemática Mexicana,2296-4495,Birkhäuser,Mathematics,Springer Hybrid,CC BY,https://springer.com/40590
245,40574,Bollettino dell'Unione Matematica Italiana,2198-2759,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/40574
246,41409,Bone Marrow Transplantation,1476-5365,Springer Nature,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/41409
247,10546,Boundary-Layer Meteorology,1573-1472,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10546
248,11682,Brain Imaging and Behavior,1931-7565,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/11682
249,429,Brain Structure and Function,1863-2661,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/429
250,10548,Brain Topography,1573-6792,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10548
251,10014,Brain Tumor Pathology,1861-387X,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10014
252,44411,Bratislava Medical Journal,1336-0345,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/44411
253,40415,Brazilian Journal of Botany,1806-9959,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/40415
254,43153,Brazilian Journal of Chemical Engineering,1678-4383,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/43153
255,42770,Brazilian Journal of Microbiology,1678-4405,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/42770
256,13538,Brazilian Journal of Physics,1678-4448,Springer,Physics,Springer Hybrid,CC BY,https://springer.com/13538
257,12282,Breast Cancer,1880-4233,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12282
258,10549,Breast Cancer Research and Treatment,1573-7217,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10549
259,41415,British Dental Journal,1476-5373,Springer Nature,Dentistry,Springer Hybrid,CC BY,https://springer.com/41415
260,41416,British Journal of Cancer,1532-1827,Springer Nature,Biomedicine,Springer Hybrid,CC BY,https://springer.com/41416
261,41293,British Politics,1746-9198,Palgrave Macmillan,Political Science and International Relations,Springer Hybrid,CC BY-NC-ND,https://springer.com/41293
262,12228,Brittonia,1938-436X,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12228
263,12273,Building Simulation,1996-8744,"Tsinghua University Press, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/12273
264,42865,Bulletin of Atmospheric Science and Technology,2662-1509,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/42865
265,10518,Bulletin of Earthquake Engineering,1573-1456,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10518
266,10064,Bulletin of Engineering Geology and the Environment,1435-9537,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/10064
267,128,Bulletin of Environmental Contamination and Toxicology,1432-0800,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/128
268,11538,Bulletin of Mathematical Biology,1522-9602,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/11538
269,574,"Bulletin of the Brazilian Mathematical Society, New Series",1678-7714,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/574
270,41980,Bulletin of the Iranian Mathematical Society,1735-8515,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/41980
271,40840,Bulletin of the Malaysian Mathematical Sciences Society,2180-4206,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/40840
272,445,Bulletin of Volcanology,1432-0819,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/445
273,103,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,1437-1588,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/103
274,12599,Business & Information Systems Engineering,1867-0202,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/12599
275,11369,Business Economics,1554-432X,Palgrave Macmillan,Economics,Springer Hybrid,CC BY,https://springer.com/11369
276,223,Calcified Tissue International,1432-0827,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/223
277,10092,Calcolo,1126-5434,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/10092
278,526,Calculus of Variations and Partial Differential Equations,1432-0835,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/526
279,12630,Canadian Journal of Anesthesia/Journal canadien d'anesthésie,1496-8975,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC,https://springer.com/12630
280,43678,Canadian Journal of Emergency Medicine,1481-8043,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/43678
281,41997,Canadian Journal of Public Health,1920-7476,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/41997
282,42330,"Canadian Journal of Science, Mathematics and Technology Education",1942-4051,Springer,Education,Springer Hybrid,CC BY,https://springer.com/42330
283,42650,Canadian Studies in Population,1927-629X,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/42650
284,10555,Cancer and Metastasis Reviews,1573-7233,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10555
285,10552,Cancer Causes & Control,1573-7225,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10552
286,280,Cancer Chemotherapy and Pharmacology,1432-0843,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/280
287,41417,Cancer Gene Therapy,1476-5500,Springer Nature,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/41417
288,42823,Carbon Letters,2233-4998,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/42823
289,13146,Carbonates and Evaporites,1878-5212,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/13146
290,270,CardioVascular and Interventional Radiology,1432-086X,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/270
291,10557,Cardiovascular Drugs and Therapy,1573-7241,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10557
292,13239,Cardiovascular Engineering and Technology,1869-4098,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/13239
293,12928,Cardiovascular Intervention and Therapeutics,1868-4297,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12928
294,12012,Cardiovascular Toxicology,1559-0259,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/12012
295,10562,Catalysis Letters,1572-879X,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10562
296,10563,Catalysis Surveys from Asia,1574-9266,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10563
297,42514,CCF Transactions on High Performance Computing,2524-4930,Springer,Computer Science,Springer Hybrid,CC BY,https://springer.com/42514
298,42486,CCF Transactions on Pervasive Computing and Interaction,2524-5228,Springer,Computer Science,Springer Hybrid,CC BY,https://springer.com/42486
299,13272,CEAS Aeronautical Journal,1869-5590,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/13272
300,12567,CEAS Space Journal,1868-2510,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/12567
301,10569,Celestial Mechanics and Dynamical Astronomy,1572-9478,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10569
302,10561,Cell and Tissue Banking,1573-6814,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10561
303,441,Cell and Tissue Research,1432-0878,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/441
304,12013,Cell Biochemistry and Biophysics,1559-0283,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12013
305,41418,Cell Death & Differentiation,1476-5403,Springer Nature,Life Sciences,Springer Hybrid,CC BY,https://springer.com/41418
306,41422,Cell Research,1748-7838,Springer Nature,Life Sciences,Springer Hybrid,CC BY,https://springer.com/41422
307,41423,Cellular & Molecular Immunology,2042-0226,Springer Nature,Biomedicine,Springer Hybrid,CC BY,https://springer.com/41423
308,12195,Cellular and Molecular Bioengineering,1865-5033,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/12195
309,10570,Cellulose,1572-882X,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10570
310,13730,CEN Case Reports,2192-4449,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/13730
311,10100,Central European Journal of Operations Research,1613-9178,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10100
312,42976,Cereal Research Communications,1788-9170,"Akadémiai Kiadó, co-published with Springer",Life Sciences,Springer Hybrid,CC BY,https://springer.com/42976
313,11696,Chemical Papers,2585-7290,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/11696
314,40242,Chemical Research in Chinese Universities,2210-3171,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/40242
315,42250,Chemistry Africa,2522-5766,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/42250
316,10593,Chemistry of Heterocyclic Compounds,1573-8353,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/10593
317,49,Chemoecology,1423-0445,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/49
318,40828,ChemTexts,2199-3793,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/40828
319,10566,Child & Youth Care Forum,1573-3319,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10566
320,10560,Child and Adolescent Social Work Journal,1573-2797,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10560
321,12187,Child Indicators Research,1874-8988,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12187
322,10578,Child Psychiatry & Human Development,1573-3327,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10578
323,10583,Children's Literature in Education,1573-1693,Springer,Linguistics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10583
324,381,Child's Nervous System,1433-0350,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/381
325,41230,China Foundry,2365-9459,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/41230
326,42533,China International Strategy Review,2524-5635,Springer,Political Science and International Relations,Springer Hybrid,CC BY,https://springer.com/42533
327,13344,China Ocean Engineering,2191-8945,"Chinese Ocean Engineering Society, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/13344
328,42379,China Population and Development Studies,2523-8965,Springer,Social Sciences,Springer Hybrid,CC BY,https://springer.com/42379
329,12689,China-EU Law Journal,1868-5161,Springer,Law,Springer Hybrid,CC BY,https://springer.com/12689
330,11401,"Chinese Annals of Mathematics, Series B",1860-6261,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/11401
331,11769,Chinese Geographical Science,1993-064X,"Science Press, co-published with Springer",Geography,Springer Hybrid,CC BY,https://springer.com/11769
332,42058,Chinese Journal of Academic Radiology,2520-8993,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/42058
333,11655,Chinese Journal of Integrative Medicine,1993-0402,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/11655
334,10118,Chinese Journal of Polymer Science,1439-6203,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/10118
335,41111,Chinese Political Science Review,2365-4252,Springer,Political Science and International Relations,Springer Hybrid,CC BY,https://springer.com/41111
336,10337,Chromatographia,1612-1112,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10337
337,412,Chromosoma,1432-0886,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/412
338,10577,Chromosome Research,1573-6849,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10577
339,34,"Circuits, Systems, and Signal Processing",1531-5878,Birkhäuser,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/34
340,43615,Circular Economy and Sustainability,2730-5988,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/43615
341,10098,Clean Technologies and Environmental Policy,1618-9558,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10098
342,382,Climate Dynamics,1432-0894,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/382
343,10584,Climatic Change,1573-1480,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10584
344,10585,Clinical & Experimental Metastasis,1573-7276,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10585
345,12018,Clinical & Translational Metabolism,2948-2445,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/12018
346,10157,Clinical and Experimental Nephrology,1437-7799,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10157
347,40336,Clinical and Translational Imaging,2281-7565,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/40336
348,12094,Clinical and Translational Oncology,1699-3055,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12094
349,10286,Clinical Autonomic Research,1619-1560,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10286
350,10567,Clinical Child and Family Psychology Review,1573-2827,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10567
351,40261,Clinical Drug Investigation,1179-1918,Adis,Medicine & Public Health,Springer Hybrid,CC BY-NC,https://springer.com/40261
352,10309,Clinical Epileptology,2948-1058,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10309
